Iteration;Best Fitness;Average Fitness;Worst Fitness
65;96920;83716;59592
66;96920;73411;59592
67;96920;83307;59592
68;96920;79663;59592
69;96920;87366;59592
70;96920;74813;59592
71;96920;77324;59592
72;96920;66999;59592
73;96920;73280;59592
74;96920;80524;59592
75;96920;90314;59592
76;96920;70468;59592
77;96920;81241;59592
78;96920;71554;59592
79;96920;86933;59592
80;96920;84990;59592
81;96920;85838;59592
82;96920;81284;59592
83;96920;88892;59592
84;96920;87581;59592
85;96920;82757;59592
86;96920;75848;59592
87;96920;83298;59592
88;96920;85460;59592
89;96920;69666;59592
90;96920;76719;59592
91;96920;83432;59592
92;96920;72795;59592
93;96920;85627;59592
94;96920;87206;59592
95;96920;78857;59592
96;96920;91020;59592
97;96920;67344;59592
98;96920;86925;59592
99;96920;83418;59592
100;96920;76687;59592
Iteration;Best Fitness;Average Fitness;Worst Fitness
1;74562;74562;74562
2;74795;74795;74562
3;74795;70765;70765
4;83184;83184;70765
5;83184;80462;70765
6;87654;87654;70765
7;87654;69244;69244
8;87654;80744;69244
9;101517;101517;69244
10;101517;90176;69244
11;101517;100376;69244
12;101517;90308;69244
13;101517;83793;69244
14;101517;86569;69244
15;101517;97008;69244
16;101517;86768;69244
17;101517;73084;69244
18;101517;93745;69244
19;101517;90726;69244
20;101517;96318;69244
21;101517;94276;69244
22;101517;75143;69244
23;101517;85935;69244
24;101517;86316;69244
25;101517;77546;69244
26;101517;78690;69244
